Ročník,Téma,Soubor,Problém,Oprava
6,Fyzika 6. ročníku,f6-teplota-a-jeji-mereni.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f6-teplota-mereni-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-teplota-roztaznost.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-teplotni-roztaznost.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Fyzika 6. ročníku,f6-uvod-do-fyziky.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f6-veliciny-delka-2.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
6,Fyzikální veličiny,f6-veliciny-delka.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-veliciny-hmotnost-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzikální veličiny,f6-veliciny-hmotnost.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics,N/A
?,?,f6-veliciny-hustota-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-veliciny-objem-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzikální veličiny,f6-veliciny-objem.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f6-veliciny-opakovani.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzikální veličiny,f6-veliciny-teplota.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
6,Fyzika 6. ročníku,f6-vzajemne-pusobeni-teles-sila.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f7-atmosfera-meteorologie.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-atmosfera-pretlak-podtlak.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-atmosfera-tlak-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-atmosfera-tlak-atmosfericky.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-atmosfera-vakuum.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-deformace-pouzitie.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-meteorologie-mereni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Pohyb a rychlost,f7-pohyb-brzdeni-zpomaleni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
?,?,f7-pohyb-klid-a-pohyb-v2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Pohyb a rychlost,f7-pohyb-priklady-praxi.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
?,?,f7-pohyb-relativni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-pohyb-rotace-tuhych.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-pohyb-rotacni-v2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Pohyb a rychlost,f7-pohyb-rovnomerne-zrychleny.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
7,Pohyb a rychlost,f7-pohyb-rovnomerny-pohyb.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
?,?,f7-pohyb-rychlost-v2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-pohyb-vypocty-prakticke.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-pohyb-vypocty-v2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-shrnutí-pololetní.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-shrnutí-roční.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-sily-gravitace-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-sily-sila-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-stroje-deformace.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-stroje-kladka-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-stroje-kladka-praxe.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Jednoduché stroje,f7-stroje-kladka.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f7-stroje-naklonena-rovina-2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-stroje-naklonena-rovina-sily.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Jednoduché stroje,f7-stroje-naklonena-rovina.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,?,f7-stroje-paky-praxe.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f7-stroje-paky-v2.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
7,Jednoduché stroje,f7-stroje-paky.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Akce a reakce,f7-tema4-akce-a-reakce.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,"Aplikace v praxi (rakety, sprinteři)",f7-tema4-aplikace-v-praxi-rakety-sprinteři.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Elastické a nepružné srážky,f7-tema4-elastické-a-nepružné-srážky.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Hybnost a impuls,f7-tema4-hybnost-a-impuls.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Přeměny mezi gravitační potenciální energií a kinetickou energií,f7-tema5-energie.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,Vztah mezi tlakem a objemem plynu,f7-tema5-stlacitelnost-plynu.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Měření třecí síly a jej závislosti na normálové síle,f7-tema5-treni-a-odolnost.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,"Síla, kterou kapalina působí na ponořené těleso",f7-tema5-vztlak.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-elektrina-aplikace-sily.md,Possible multiple spaces; Possible missing period; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
?,?,f8-elektrina-coulombuv-zakon.md,Possible multiple spaces; Possible missing period; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
?,?,f8-elektrina-napeti-voltmetr.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-elektrina-ohmův-zakon-prakticke.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-elektrina-pritahovani-odpuzovani.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-elektrina-serie-paralelni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-elektrina-sila-mezi-naboji.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-energie-premeny-prakticke.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-magneticka-aplikace-praxi.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics,N/A
?,?,f8-magneticka-elektromagnety.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-magneticka-magneticke-pole.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-magneticka-sily-interakce.md,Possible multiple spaces; Possible paragraph missing punctuation; Gravitational constant value unclear; Possible missing Czech diacritics,N/A
8,Tepelné motory,f8-spalovaci-motory.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Paralelní zapojení rezistorů,f8-tema4-paralelní-zapojení-rezistorů.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Smíšené obvody,f8-tema4-smíšené-obvody.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Sériové zapojení rezistorů,f8-tema4-sériové-zapojení-rezistorů.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Výkon a energie,f8-tema4-výkon-a-energie.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Měření síly magnetického pole a stavba elektromagnetů,f8-tema5-magnetizmus.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,Snellův zákon a měření indexu lomu skla,f8-tema5-optika-refrakce.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Jak různé látky absorbují a odevzdávají teplo,f8-tema5-tepelna-kapacita.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Zvuk se šíří různou rychlostí v různých látkách,f8-tema5-zvuk.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
8,Tepelné motory,f8-tepelne-motory-parni-stroj.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
8,Tepelné motory,f8-teplo-premeny-skupenstvi.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-teplo-skupenstvi-premeny.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,?,f8-zvuk-experimenty.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Elektrický proud v látkách,f9-chemicke-zdroje-napeti.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
9,Fyzika 9. ročníku,f9-elektricka-energia-a-bezpecnost.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-elektricka-energia-a-premeny.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-elektricky-proud-v-latkach.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-elektromagnet.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-elektromagneticka-indukce.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-energia-a-vesmir.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-indukce-a-stridavy-proud.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-jaderna-energia-a-reakce.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-jaderna-fyzika.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-jaderny-reaktor-elektrarna.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-jadro-atomu.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-magneticke-pole-vodice-a-civky.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-magneticke-pole.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-magnety-magneticke-pole-opakovani.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Elektřina,f9-naboj-aplikace.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Elektřina,f9-naboj-elektrizace.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Elektřina,f9-naboj-mereni.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Elektřina,f9-naboj-vlastnosti.md,Possible multiple spaces; Possible paragraph missing punctuation; Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Fyzika 9. ročníku,f9-obnovitelne-a-neobnovitelne-zdroje.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-polovodice-typu-n-a-p-dioda.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-polovodice-vlastni-vodivost.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-prenos-elektricke-energia.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Elektrický proud v látkách,f9-prenos-energie.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
9,Elektřina,f9-proud-mereni-ampermetr.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
9,Elektřina,f9-proud-odpor-ohmov-zakon.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Elektřina,f9-proud-smer-proud.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars),N/A
9,Elektřina,f9-proud-zapojeni-serie-parallel.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics; Very long paragraph (>500 chars); Very long paragraph (>500 chars),N/A
9,Fyzika 9. ročníku,f9-pusobeni-pole-na-vodic-elektromotor.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-slunecni-soustava.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Faradayův zákon indukce,f9-tema4-faradayův-zákon-indukce.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Generátor střídavého proudu,f9-tema4-generátor-střídavého-proudu.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Lenzův zákon,f9-tema4-lenzův-zákon.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Transformátor,f9-tema4-transformátor.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Jak pohybující se magnet vytváří elektrický proud,f9-tema5-indukce.md,Possible multiple spaces; Possible paragraph missing punctuation,N/A
?,Ověření vztahu E = mc² a vazebné energie jádra,f9-tema5-jaderna-energie.md,Possible multiple spaces; Possible missing period; Possible paragraph missing punctuation,N/A
?,Pozorování a měření ionizujícího záření,f9-tema5-radioaktivita.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
?,Pozorování spekter atomů a jejich identifikace,f9-tema5-spektra.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-transformator.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-ucinky-proudu-bezpecnost.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Elektrický proud v látkách,f9-vedeni-proudu-kapaliny.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-vedeni-proudu-v-kapalinach.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-vedeni-proudu-v-plynech.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-vesmir-a-galaxie.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-vlastnosti-stridaveho-proudu.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
9,Fyzika 9. ročníku,f9-vznik-stridaveho-proudu-alternator.md,Possible multiple spaces; Possible paragraph missing punctuation; Possible missing Czech diacritics,N/A
